channel-uf,channel-city,channel-network,channel-name,channel-codec,channel-resolution,tvg-id,tvg-name,url-tvg,tvg-language,tvg-country,tvg-logo,group-title,shift,audio-track,aspect-ratio,subtitles,background,url
RS,Passo Fundo,TV Cultura,UPFTV,h264,720,,UPFTV,,Portuguese,BR,,Educativo,-3,por,16:9,por,#000000,https://edge-df-01.eduplay.rnp.br/media/ocp(r(uxqJWw)t(AAAAAAAAAAA)p(d(1V0)k(cto)m(cAgw-imQ17DRoLXnz95FRw)n(a(3SvKKEX2OOhT6h3pe_Y_EFfDaFcT3ac-)s(Q7o)'a(Kvu_4LKVUK79KhEoIpPBfg1d)s(E1o)))s(t(sQg)b(N3U2BrNIlr__FHGgSagEOxUNBPapU6wLgFdu5hPXv3n22-TGb3AbZpfiS1pTXHOIcor3Raeer_hlcpDs4U46Sguz0n7js6nLVSk51ug78m5zYTubhun1nENFuNIPQqDZxUa7YVWX-68MY3Tf8FmhpqiFVUs5sK6wYWA_LCs)'t(opI)b(SlmvsQ63fGnFgfUmGie2Lo4LS_jehRFGCyA)))/index.m3u8
RS,Porto Alegre,RecordTV,RecordTV RS,h264,1080,RecordPortoAlegre.br(m3u4u),RecordTV RS,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://playpluspoa-lh.akamaihd.net/i/pp_poa@377864/master.m3u8
RS,Porto Alegre,Rede TV!,TV Pampa,h264,1080,,TV Pampa,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://59f1cbe63db89.streamlock.net:1443/tvpampa/_definst_/tvpampa/playlist.m3u8
RS,Porto Alegre,SBT,SBT RS,h264,1080,,SBT RS,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://www.youtube.com/user/TVSBTRS/live
RS,Porto Alegre,sem rede,UniTV Porto Alegre,h264,480,NITV.-.NET.RS.br,UniTV Porto Alegre,https://github.com/epgshare01/share01/blob/master/epg_ripper_BR1.xml.gz?raw=true,Portuguese,BR,,Educativo,-3,por,16:9,por,#000000,http://unitvaovivo.ufrgs.br:8080/live.ogg
RS,Santa Cruz do Sul,Futura,Unisc TV,h264,1080,,Unisc TV,,Portuguese,BR,,Educativo,-3,por,16:9,por,#000000,https://tv.unisc.br/hls/test.m3u8
SC,Florianópolis,SBT,SCC SBT,h264,1080,,SCC SBT,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://www.youtube.com/channel/UCEzVIIPtAIfsRCEHwn4AOzw/live
SP,Americana,CNT,CNT Americana,h264,720,CNT.REDE.br,CNT Americana,https://github.com/epgshare01/share01/blob/master/epg_ripper_BR1.xml.gz?raw=true,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://dd8umsy8yf96u.cloudfront.net/live/cnt-americana.m3u8
SP,Cachoeira Paulista,sem rede,Canção Nova,h264,720,CancaoNova.br(m3u4u),Canção Nova,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Religioso,-3,por,16:9,por,#000000,https://www.youtube.com/channel/UCVrKQMmA2ew9LFzeIDaOFgw/live
SP,Campinas,sem rede,Rede Família,h264,1080,,Rede Família,,Portuguese,BR,,Religioso,-3,por,16:9,por,#000000,https://5a1c76baf08c0.streamlock.net/familia/smil:familia.smil/playlist.m3u8
SP,Guarujá,sem rede,ISTV,h264,1080,,ISTV,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://cdn.jmvstream.com/w/LVW-9883/LVW9883_lFcfKysrHF/playlist.m3u8
SP,Itu,sem rede,Itu TV,h264,720,,Itu TV,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,http://tv02.logicahost.com.br:1935/itutv/itutv/live.m3u8
SP,Jacareí,TV Novo Tempo,TV Novo Tempo,h264,1080,TVNovoTempo.br(m3u4u),TV Novo Tempo,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Religioso,-3,por,16:9,por,#000000,https://stream.live.novotempo.com/tv/smil:tvnovotempo.smil/playlist.m3u8
SP,Jundiaí,sem rede,Canal 25 Jundiaí,h264,416,,Canal 25 Jundiaí,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://stream01.msolutionbrasil.com.br/hls/canal25/live.m3u8
SP,Osasco,sem rede,TV Osasco,h264,720,,TV Osasco,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://596639ebdd89b.streamlock.net/8074/8074/playlist.m3u8
SP,Santos,SBT,VTV SBT,h264,1080,,VTV SBT,,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://www.youtube.com/channel/UC40TUSUx490U5uR1lZt3Ajg/live
SP,São Bernardo do Campo,sem rede,TVT,h264,1080,TVT.br(m3u4u),TVT,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://stream-03.nyc.dailymotion.com/sec(hq_e0q5VHX_FvDCk_Uz4G-_tJGmtUlwDm9koLrvhPpU)/dm/3/x6ph7x7/d/live-0.m3u8
SP,São José do Rio Preto,Rede Vida,Rede Vida,h264,1080,RedeVida.br(m3u4u),Rede Vida,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Religioso,-3,por,16:9,por,#000000,https://cvd1.cds.ebtcvd.net/live-redevida/smil:redevida.smil/playlist.m3u8
SP,São Paulo,Bandeirantes,Band São Paulo,h264,1080,Band.br(m3u4u),Band São Paulo,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,http://evpp.mm.uol.com.br:1935/geob_band/app/playlist.m3u8
SP,São Paulo,RBTV,Rede Brasil,h264,720,RedeBrasil.br(m3u4u),Rede Brasil,http://m3u4u.com/epg/68m7n4xmj4szww5n1gek,Portuguese,BR,,Geral,-3,por,16:9,por,#000000,https://video01.logicahost.com.br/redebrasil/redebrasil/playlist.m3u8
